cache_size	 cache_line_size	 associativity	 data_size	 kernel_size	time
65536	32	2	700	7	7230578
65536	32	2	700	20	53793542
65536	32	2	800	3	2515249
65536	32	2	800	7	9438865
65536	32	2	800	20	70270427
65536	32	2	900	3	3169702
65536	32	2	900	7	11953441
65536	32	2	900	20	88939348
65536	32	2	1000	3	3928095
65536	32	2	1000	7	14762086
65536	32	2	1000	20	109787741
65536	32	4	50	3	8938
65536	32	4	50	7	35941
65536	32	4	50	20	272965
65536	32	4	100	3	35992
65536	32	4	100	7	144804
65536	32	4	100	20	1092772
65536	32	4	200	3	144039
65536	32	4	200	7	579224
65536	32	4	200	20	4386959
65536	32	4	300	3	344229
65536	32	4	300	7	1327301
65536	32	4	300	20	9883044
65536	32	4	400	3	629055
65536	32	4	400	7	2362100
65536	32	4	400	20	17570474
65536	32	4	500	3	980899
65536	32	4	500	7	3694141
65536	32	4	500	20	27457939
65536	32	4	600	3	1412776
65536	32	4	600	7	5314537
65536	32	4	600	20	39536523
65536	32	4	700	3	1916533
65536	32	4	700	7	7236215
65536	32	4	700	20	53810305
65536	32	4	800	3	2515492
65536	32	4	800	7	9440322
65536	32	4	800	20	70287102
65536	32	4	900	3	3176703
65536	32	4	900	7	11958545
65536	32	4	900	20	88967397
65536	32	4	1000	3	3925163
65536	32	4	1000	7	14758320
65536	32	4	1000	20	109820422
131072	16	2	50	3	9052
131072	16	2	50	7	36034
131072	16	2	50	20	272982
131072	16	2	100	3	35833
131072	16	2	100	7	143841
131072	16	2	100	20	1092324
131072	16	2	200	3	143152
131072	16	2	200	7	575014
131072	16	2	200	20	4393596
131072	16	2	300	3	321422
131072	16	2	300	7	1293850
131072	16	2	300	20	9827146
131072	16	2	400	3	572318
131072	16	2	400	7	2299449
131072	16	2	400	20	17522395
131072	16	2	500	3	921901
131072	16	2	500	7	3669294
131072	16	2	500	20	27440941
131072	16	2	600	3	1287614
131072	16	2	600	7	5175584
131072	16	2	600	20	39526894
131072	16	2	700	3	1751081
131072	16	2	700	7	7080626
131072	16	2	700	20	53878986
131072	16	2	800	3	2533783
131072	16	2	800	7	9507791
131072	16	2	800	20	70471891
131072	16	2	900	3	2949530
131072	16	2	900	7	11868772
131072	16	2	900	20	89214579
131072	16	2	1000	3	3713096
131072	16	2	1000	7	14797244
131072	16	2	1000	20	110148379
131072	16	4	50	3	9047
131072	16	4	50	7	36040
131072	16	4	50	20	272975
131072	16	4	100	3	35819
131072	16	4	100	7	143837
131072	16	4	100	20	1092100
131072	16	4	200	3	143165
131072	16	4	200	7	575063
131072	16	4	200	20	4368793
131072	16	4	300	3	321396
131072	16	4	300	7	1293590
131072	16	4	300	20	9829886
131072	16	4	400	3	572419
131072	16	4	400	7	2300228
131072	16	4	400	20	17539097
131072	16	4	500	3	893010
131072	16	4	500	7	3594509
131072	16	4	500	20	27411393
131072	16	4	600	3	1291846
131072	16	4	600	7	5179847
131072	16	4	600	20	39591160
131072	16	4	700	3	1751091
131072	16	4	700	7	7105312
131072	16	4	700	20	53952192
131072	16	4	800	3	2533969
131072	16	4	800	7	9509472
131072	16	4	800	20	70475401
131072	16	4	900	3	2946720
131072	16	4	900	7	11918357
131072	16	4	900	20	89211641
131072	16	4	1000	3	3698230
131072	16	4	1000	7	14789271
131072	16	4	1000	20	110112346
131072	32	2	50	3	8938
